textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
9900,	   115600,	   88400,	   105000,	   901500,	   58700
10000,	   118800,	   88500,	   106300,	   1238400,	   61800
10100,	   121700,	   89600,	   108200,	   924600,	   60900
10200,	   119700,	   89900,	   108700,	   1119300,	   60800
10300,	   122900,	   97700,	   110500,	   1003300,	   65400
10400,	   128600,	   96900,	   116300,	   974600,	   62200
10500,	   123500,	   93100,	   112200,	   995300,	   66200
10600,	   139000,	   98700,	   118500,	   1385400,	   63300
10700,	   126100,	   98100,	   112800,	   984700,	   64300
10800,	   126900,	   96800,	   114700,	   994100,	   65000
10900,	   127400,	   96000,	   116500,	   1000900,	   68700
11000,	   145300,	   96700,	   117500,	   1017500,	   65200
11100,	   130600,	   98300,	   118600,	   1495800,	   111800
11200,	   193400,	   124000,	   142500,	   1105300,	   66200
11300,	   352400,	   256000,	   286500,	   1594500,	   70200
11400,	   140600,	   92100,	   133700,	   1091800,	   68600
11500,	   170400,	   99900,	   129100,	   1204100,	   68300
11600,	   136600,	   121100,	   179000,	   1057800,	   70400
11700,	   137400,	   159300,	   189800,	   1667600,	   80300
11800,	   162800,	   101700,	   125000,	   1067100,	   70700
11900,	   141000,	   103500,	   127000,	   1085900,	   71800
12000,	   141000,	   103300,	   127700,	   1087100,	   71300
12100,	   144800,	   104800,	   129300,	   1575500,	   134100
12200,	   291200,	   281000,	   287300,	   1833100,	   74700
12300,	   148800,	   108700,	   139000,	   1271600,	   87400
12400,	   172300,	   125900,	   154900,	   1443000,	   88900
12500,	   173600,	   129000,	   156400,	   1265300,	   78500
12600,	   163400,	   102100,	   145700,	   1202400,	   91600
12700,	   173000,	   135600,	   134400,	   1447800,	   75900
12800,	   151000,	   110600,	   135400,	   1164700,	   76800
12900,	   150900,	   111500,	   137500,	   1223800,	   89100
13000,	   153400,	   111200,	   137100,	   1201400,	   76900
13100,	   155000,	   127700,	   138500,	   1467300,	   79300
13200,	   170600,	   114400,	   139600,	   1196800,	   78600
13300,	   156200,	   111900,	   141400,	   1205400,	   79000
13400,	   164600,	   166800,	   158800,	   1522700,	   115100
13500,	   227800,	   172600,	   186300,	   1565200,	   186600
13600,	   447900,	   378400,	   316500,	   2019300,	   95600
13700,	   222600,	   263200,	   274200,	   2011700,	   90400
13800,	   181300,	   131800,	   163800,	   1266100,	   81400
13900,	   162900,	   118400,	   146300,	   1300500,	   85000
14000,	   168700,	   120300,	   153200,	   1717400,	   83300
14100,	   168800,	   122000,	   148500,	   1454300,	   85400
14200,	   167300,	   119000,	   149400,	   1290200,	   83100
14300,	   168100,	   120800,	   152100,	   1295700,	   86700
14400,	   169100,	   118700,	   153400,	   1306500,	   84300
14500,	   294900,	   181800,	   238800,	   3399800,	   148200
14600,	   286800,	   191100,	   270600,	   1890200,	   144400
14700,	   286300,	   226600,	   264000,	   2099900,	   300600
14800,	   233000,	   125300,	   153300,	   1436300,	   88700
14900,	   223500,	   125500,	   158500,	   1685000,	   85200
15000,	   172000,	   123200,	   155400,	   1851700,	   134300
15100,	   262600,	   192900,	   240900,	   2255600,	   145400
15200,	   292000,	   205700,	   258500,	   2179800,	   123700
15300,	   260700,	   187300,	   231900,	   2022500,	   97700
15400,	   197200,	   140800,	   203900,	   1582800,	   88500
15500,	   180600,	   127700,	   159000,	   1374700,	   88900
15600,	   179000,	   129000,	   157000,	   1497900,	   90200
15700,	   190000,	   138400,	   159200,	   1695000,	   88000
15800,	   184200,	   130500,	   165500,	   1393400,	   90400
15900,	   185100,	   130200,	   164600,	   1402300,	   91400
16000,	   186400,	   130500,	   163600,	   1422600,	   91200
16100,	   186600,	   131500,	   168900,	   1813300,	   92600
16200,	   186500,	   131400,	   231000,	   1441800,	   93400
16300,	   199700,	   134400,	   175200,	   1503800,	   92300
16400,	   189700,	   134400,	   169400,	   1456900,	   92600
16500,	   190900,	   418300,	   166000,	   1461300,	   92500
16600,	   192600,	   137600,	   166600,	   1471900,	   92900
16700,	   193300,	   137200,	   173500,	   1485400,	   94400
16800,	   195700,	   136500,	   169000,	   1767500,	   96700
16900,	   195100,	   143500,	   170000,	   1786500,	   95900
17000,	   287400,	   166400,	   178900,	   1640100,	   97800
17100,	   206200,	   138800,	   223300,	   1519900,	   99800
17200,	   198700,	   146200,	   172700,	   1808400,	   98800
17300,	   198700,	   139300,	   171500,	   1531400,	   97400
17400,	   201200,	   139500,	   182600,	   1543500,	   98700
17500,	   292900,	   230200,	   275800,	   2122200,	   176600
17600,	   203200,	   146000,	   184600,	   1955100,	   231100
17700,	   328100,	   263000,	   336300,	   2444600,	   164500
17800,	   315300,	   219200,	   287000,	   2314400,	   176900
17900,	   307500,	   214100,	   282200,	   2625200,	   100400
18000,	   240100,	   145700,	   189500,	   1591100,	   104100
18100,	   208200,	   147400,	   182200,	   1598700,	   139100
18200,	   277200,	   197600,	   191500,	   1917300,	   94800
18300,	   233200,	   138200,	   171500,	   1542400,	   134500
18400,	   197000,	   135600,	   171500,	   1581100,	   95900
18500,	   198700,	   135700,	   170200,	   1634100,	   96600
18600,	   225700,	   151300,	   173300,	   1865400,	   98700
18700,	   236900,	   137500,	   175200,	   1562000,	   136700
18800,	   200000,	   138200,	   182700,	   1865400,	   97700
18900,	   229800,	   163400,	   174200,	   1933600,	   100200
19000,	   205500,	   139400,	   180200,	   1624500,	   102100
19100,	   244800,	   143200,	   185500,	   1574800,	   102300
19200,	   206100,	   143800,	   187400,	   1801500,	   101000
19300,	   207300,	   142000,	   183100,	   1582100,	   101400
19400,	   207700,	   148200,	   180900,	   1656800,	   102600
19500,	   207700,	   149300,	   282700,	   2104000,	   111400
19600,	   230100,	   155700,	   200500,	   1765900,	   101900
19700,	   247100,	   144900,	   181400,	   1687700,	   104100
19800,	   212800,	   144800,	   192900,	   2031600,	   104400
19900,	   212200,	   146800,	   193400,	   1626100,	   106500
20000,	   213700,	   147900,	   186400,	   1664200,	   105600
20100,	   214400,	   198100,	   191000,	   2568700,	   117400
20200,	   235100,	   161600,	   236900,	   1973900,	   120800
20300,	   234700,	   158800,	   203600,	   1840100,	   119600
20400,	   433900,	   347300,	   451300,	   3206800,	   228500
20500,	   415600,	   410400,	   400400,	   2352700,	   108900
20600,	   221100,	   149900,	   200900,	   1813300,	   128800
20700,	   223500,	   150300,	   234300,	   2446100,	   109500
20800,	   293100,	   186800,	   191600,	   2081200,	   108000
20900,	   297700,	   152500,	   252300,	   1880300,	   119900
21000,	   243200,	   163900,	   211200,	   2492200,	   143200
21100,	   245000,	   182200,	   214300,	   2062000,	   119400
21200,	   245200,	   166100,	   210600,	   1884100,	   120000
21300,	   246200,	   167400,	   214500,	   2362200,	   122100
21400,	   246400,	   166800,	   215500,	   1895600,	   127800
21500,	   247800,	   166900,	   218600,	   1910800,	   122300
21600,	   251000,	   167400,	   217000,	   2089700,	   112400
21700,	   233400,	   156300,	   203000,	   1783400,	   114500
21800,	   232900,	   158000,	   200400,	   1780800,	   112400
21900,	   259800,	   173700,	   212800,	   2185400,	   116300
22000,	   236200,	   158400,	   257400,	   1805300,	   116200
22100,	   236300,	   161200,	   215400,	   1809200,	   117900
22200,	   233000,	   269200,	   340200,	   2244500,	   117200
22300,	   236900,	   160900,	   217100,	   1822100,	   117900
22400,	   239700,	   160800,	   209000,	   2091200,	   118500
22500,	   242000,	   162300,	   219600,	   1982300,	   118900
22600,	   280900,	   196900,	   207600,	   1869700,	   119800
22700,	   244200,	   162900,	   213300,	   2347700,	   117800
22800,	   245100,	   163900,	   224100,	   1867000,	   120500
22900,	   241700,	   164100,	   222800,	   1910900,	   120900
23000,	   242400,	   168900,	   223500,	   2102200,	   121200
23100,	   246100,	   165500,	   223100,	   2082500,	   122000
23200,	   247300,	   166400,	   217000,	   2477800,	   208800
23300,	   299400,	   180800,	   240100,	   2236800,	   157500
23400,	   334700,	   167600,	   220900,	   1932800,	   124000
23500,	   253400,	   177700,	   218600,	   2207000,	   121600
23600,	   253700,	   181000,	   221000,	   2047000,	   152300
23700,	   345400,	   169900,	   303100,	   1980100,	   212400
23800,	   376400,	   260200,	   255100,	   2237600,	   127000
23900,	   255800,	   172900,	   232200,	   2043300,	   126600
24000,	   257900,	   171500,	   233400,	   2179900,	   125900
24100,	   262100,	   224900,	   235200,	   1972700,	   162700
24200,	   259100,	   172900,	   225700,	   2396200,	   190600
24300,	   390200,	   319700,	   283100,	   2358800,	   126100
24400,	   260700,	   176900,	   231800,	   2008700,	   129000
24500,	   264000,	   175000,	   238900,	   2298300,	   129500
24600,	   263700,	   176400,	   229600,	   2103700,	   131100
24700,	   264900,	   181100,	   232100,	   2066200,	   369600
24800,	   391500,	   262400,	   236200,	   2420400,	   128800
24900,	   269800,	   184500,	   232600,	   2045400,	   128500
25000,	   315400,	   187500,	   233800,	   2287800,	   132000
25100,	   270900,	   190200,	   234200,	   2057500,	   133800
25200,	   272800,	   178500,	   234900,	   2387600,	   140800
25300,	   304200,	   198800,	   254400,	   2366500,	   133400
25400,	   273000,	   188800,	   237200,	   2079700,	   134100
25500,	   275700,	   183600,	   238200,	   2298400,	   173900
25600,	   272600,	   181300,	   239600,	   2104800,	   135000
25700,	   276900,	   182800,	   249100,	   2311500,	   137300
25800,	   277100,	   182800,	   244900,	   2659200,	   137000
25900,	   278400,	   186100,	   251900,	   2208900,	   136800
26000,	   278600,	   188300,	   255000,	   2380000,	   136300
26100,	   281400,	   185200,	   255000,	   2152000,	   136700
26200,	   284600,	   189800,	   241000,	   3038900,	   169800
26300,	   279300,	   187100,	   256500,	   2320400,	   138800
26400,	   284200,	   188900,	   245800,	   2171400,	   137600
26500,	   364300,	   187100,	   246700,	   2477900,	   139600
26600,	   284100,	   194200,	   259100,	   2176700,	   141800
26700,	   286200,	   188700,	   259500,	   2747100,	   141900
26800,	   288000,	   189700,	   261800,	   2261300,	   141300
26900,	   290600,	   190300,	   262700,	   2412000,	   140800
27000,	   287100,	   190800,	   256300,	   2198300,	   143000
27100,	   292300,	   192000,	   263500,	   2586100,	   188900
27200,	   314000,	   253800,	   290100,	   2387800,	   143900
27300,	   292400,	   192600,	   254100,	   2450400,	   143100
27400,	   293600,	   193100,	   251800,	   2563800,	   146600
27500,	   291900,	   197900,	   268500,	   2246600,	   143900
27600,	   294600,	   195800,	   258300,	   2704500,	   143300
27700,	   298900,	   195200,	   270800,	   2301800,	   146600
27800,	   297700,	   195900,	   257600,	   2663300,	   147300
27900,	   301200,	   196800,	   271500,	   2288000,	   148300
28000,	   302400,	   197300,	   261900,	   2744100,	   166700
28100,	   492300,	   234000,	   262800,	   2303500,	   149200
28200,	   302200,	   198500,	   263000,	   2304400,	   149300
28300,	   302500,	   199200,	   286700,	   2684200,	   150600
28400,	   305000,	   200000,	   272100,	   2380500,	   154400
28500,	   313900,	   205500,	   272700,	   2858200,	   147200
28600,	   307200,	   200700,	   278500,	   2446000,	   149200
28700,	   307500,	   202000,	   269400,	   2604500,	   149300
28800,	   307300,	   203900,	   341300,	   2481900,	   151700
28900,	   310100,	   207600,	   266100,	   3173000,	   188500
29000,	   312400,	   203600,	   271800,	   2489200,	   152700
29100,	   311800,	   241500,	   283300,	   2715000,	   153800
29200,	   310700,	   204800,	   283800,	   2503100,	   154500
29300,	   394600,	   206500,	   286000,	   2935500,	   151500
29400,	   315900,	   207900,	   320800,	   2411500,	   156800
29500,	   317300,	   207100,	   275600,	   2634600,	   155700
29600,	   317600,	   219200,	   283100,	   2411000,	   155200
29700,	   340900,	   225400,	   288800,	   3006400,	   240600
29800,	   830900,	   208500,	   293100,	   2463600,	   156000
29900,	   319300,	   211300,	   277800,	   2813900,	   156800
30000,	   321900,	   209600,	   281200,	   2448100,	   157800
30100,	   324300,	   211900,	   280900,	   3016100,	   159400
30200,	   327800,	   210800,	   283100,	   2564100,	   157000
30300,	   323800,	   212400,	   282900,	   2706000,	   159700
30400,	   322700,	   212800,	   283700,	   2561900,	   161500
30500,	   327200,	   213400,	   296000,	   2487900,	   160500
30600,	   327800,	   722700,	   310800,	   2657500,	   157600
30700,	   353000,	   230200,	   326000,	   2573700,	   162100
30800,	   329700,	   215400,	   301700,	   2783500,	   161200
30900,	   328900,	   215700,	   300800,	   2521900,	   165300
31000,	   332500,	   308100,	   302300,	   2944700,	   160900
31100,	   335400,	   217700,	   289900,	   2555200,	   165200
31200,	   335200,	   429900,	   304900,	   2557300,	   163200
31300,	   376800,	   218200,	   292400,	   2800400,	   165000
31400,	   336700,	   407400,	   909400,	   2736900,	   162600
31500,	   429700,	   219900,	   296200,	   2942600,	   171300
31600,	   338100,	   220100,	   295700,	   2600300,	   165700
31700,	   342100,	   221100,	   296200,	   2820100,	   167200
31800,	   340900,	   318300,	   345300,	   2690700,	   164100
31900,	   341500,	   257900,	   318700,	   3005800,	   165600
32000,	   372000,	   222400,	   313200,	   2692800,	   168500
32100,	   345600,	   223500,	   312200,	   2858600,	   166400
32200,	   619900,	   375400,	   415700,	   2654400,	   210800
32300,	   345600,	   225100,	   314400,	   2974500,	   169100
32400,	   346400,	   228100,	   316500,	   2647800,	   170600
32500,	   345700,	   225200,	   315200,	   3048600,	   169300
32600,	   352100,	   226200,	   304100,	   2698400,	   168300
32700,	   351500,	   229700,	   318200,	   3139200,	   171500
32800,	   353800,	   227900,	   320000,	   2760700,	   170400
32900,	   351900,	   231700,	   320900,	   3420400,	   171300
33000,	   355000,	   228400,	   322300,	   2776500,	   169700
33100,	   355500,	   230100,	   309300,	   3194600,	   180900
33200,	   355200,	   233100,	   323400,	   2724600,	   175200
33300,	   355300,	   501600,	   310900,	   2956900,	   174100
33400,	   359900,	   231800,	   312200,	   2959500,	   174800
33500,	   359700,	   232100,	   313400,	   2908600,	   176700
33600,	   358600,	   239100,	   313500,	   3000700,	   174200
33700,	   440400,	   425500,	   362200,	   2817400,	   179000
33800,	   376600,	   239200,	   314200,	   3030600,	   178300
33900,	   366400,	   240100,	   317600,	   2982900,	   262300
